Rank,Movement,Points,Country,Country Code,Abbreviation,Competitor Last Name,Competitor First Initial
310,49,172,Great Britain,GBR,HUS,"Hussey,",G
311,-2,169,Germany,DEU,KUHN,"Kuhn,",N
312,3,167,Peru,PER,BUS,"Buse,",I
313,-2,166,Belgium,BEL,GEE,"Geerts,",M
314,-1,165,USA,USA,ISN,"Isner,",J
315,-1,165,Spain,ESP,JOR,Jorda,S
316,0,164,Ecuador,ECU,AND,"Andrade,",A
317,0,164,Croatia,HRV,DOD,"Dodig,",M
318,1,164,Germany,DEU,FAN,"Fanselow,",S
319,-11,163,USA,USA,KOD,"Kodat,",T
320,1,163,Japan,JPN,NOG,"Noguchi,",R
321,1,162,Great Britain,GBR,CLA,"Clarke,",J
322,1,161,Switzerland,CHE,BEL,"Bellier,",A
323,2,160,Bulgaria,BGR,KUZ,"Kuzmanov,",D
324,7,159,Portugal,PRT,ELI,"Elias,",G
325,-5,159,Jamaica,JAM,BIC,"Bicknell,",B
326,0,159,Argentina,ARG,CAS,"Casanova,",H
327,0,159,Brazil,BRA,REI,Reis,D
328,0,159,Brazil,BRA,SAK,"Sakamoto,",P
329,-5,158,Argentina,ARG,OLI,"Olivo,",R
330,-1,157,India,IND,RAM,"Ramanathan,",R
331,3,157,Italy,ITA,BON,"Bonadio,",R
332,17,157,Neutral,,GAK,"Gakhov,",I
333,0,156,Czechia,CZE,NIC,"Nicod,",J
334,8,156,Australia,AUS,MCC,"McCabe,",J
335,2,156,Brazil,BRA,PDA,Pucinelli,d
336,-1,153,Chinese Taipei,TPE,JUN,"Jung,",J
337,-1,153,Netherlands,NLD,DEN,Den,O
338,1,151,Australia,AUS,SAV,"Saville,",L
339,1,151,Ukraine,UKR,URS,"Ursu,",V
340,-30,150,Czechia,CZE,PAU,"Paulson,",A
341,0,150,France,FRA,ERH,"Erhard,",M
342,29,149,USA,USA,TIE,"Tien,",L
343,0,149,Italy,ITA,GIU,"Giustino,",L
344,0,147,France,FRA,POU,"Poullain,",L
345,15,147,Spain,ESP,BAR,Barroso,C
346,0,147,France,FRA,GAU,"Gautier,",A
347,-35,145,Argentina,ARG,PEL,"Pella,",G
348,-3,145,Syria,SYR,NAW,"Naw,",H
349,12,145,Spain,ESP,LOP,Lopez,M
350,-2,144,China,CHN,CUI,"Cui,",J
351,-4,144,Czechia,CZE,KRU,"Krumich,",M
352,-2,144,Czechia,CZE,FOR,"Forejtek,",J
353,-1,143,Australia,AUS,MOT,"Mott,",B
354,44,143,Italy,ITA,ORA,"Oradini,",G
355,-1,143,Czechia,CZE,KOL,"Kolar,",Z
356,9,142,Italy,ITA,CEC,"Cecchinato,",M
357,-1,142,Israel,ISR,OLI,"Oliel,",Y
358,-1,141,Belgium,BEL,COL,"Collignon,",R
359,-1,141,Croatia,HRV,MIK,"Mikrut,",L
360,14,140,Argentina,ARG,TOR,"Torres,",J
361,-43,140,Republic of Korea,KOR,CAM,Campana,L
362,-9,140,France,FRA,DEN,"Denolly,",C
363,-8,139,Brazil,BRA,DUT,Dutra,D
364,-1,138,Argentina,ARG,AND,"Andreozzi,",G
365,-14,137,Great Britain,GBR,MCH,"McHugh,",A
366,0,136,USA,USA,BAS,"Basavareddy,",N
